model,weight,vesa_size,screw_size
KQ85QNA90AFXKR,44.5kg,600*400,
KQ85QNA90-W2,44.5kg,600*400,
KQ85QNC90AFXKR,43.5kg,600*400,M8 11~13
KQ85QNC90-W2,43.5kg,600*400,M8 11~13
KQ85QNC83-FF,42.7kg,600*400,M8 11~13
KQ85QNC83-FFW,42.7kg,600*400,M8 11~13
KQ85QNC85-F,42.7kg,600*400,M8 11~13
KQ85QNC85-FW,42.7kg,600*400,M8 11~13
KQ85QNB83AFXKR,42.7kg,600*400,M8 11~13
KQ85QNB83-W2,42.7kg,600*400,M8 11~13
KQ85QNB85-5,42.7kg,600*400,M8 11~13
KQ85QNB85-W25,42.7kg,600*400,M8 11~13
KQ85QNB85AFXKR,42.7kg,600*400,M8 11~13
KQ85QNB90AFXKR,44.5kg,600*400,M8 11~13
KQ85QNB90-W2,44.5kg,600*400,M8 11~13
KQ85QNB95AFXKR,44.5kg,600*400,M8 11~13
KQ85QNB95-W2,44.5kg,600*400,M8 11~13
KQ85QNC83-5,42.7kg,600*400,M8 11~13
KQ85QNC83-W25,42.7kg,600*400,M8 11~13
KQ85QNC85-F7,42.7kg,600*400,M8 11~13
KQ85QNC85-FW7,42.7kg,600*400,M8 11~13
KQ85QB83AFXKR,43.3kg,600*400,M8 25~27
KQ85QB83-W2,43.3kg,600*400,M8 25~27
KQ85QA70-6,43.8kg,600*400,
KQ85QA70-W26,43.8kg,600*400,
KQ85QA70AFXKR,43.8kg,600*400,
KQ85QA70-W2,43.8kg,600*400,
KQ85QA80-6,43.3kg,600*400,
KQ85QA80-W26,43.3kg,600*400,
KQ85QB60AFXKR,41.5kg,600*400,M8 11~13
KQ85QB60-W2,41.5kg,600*400,M8 11~13
KQ82QT800A-W1,41.5kg,novesa,
KQ82QT800A-W2,41.5kg,novesa,
KQ82QT800AFXKR,41.5kg,novesa,
KQ85QT950S-W1,51.8kg,novesa,
KQ85QT950S-W2,51.8kg,novesa,
KQ85QT950SFXKR,51.8kg,novesa,
KQ85QA67AFXKR,41.5kg,600*400,M8 11~13
KQ85QA60-W2,41.5kg,600*400,M8 11~13
KQ85QT80A-S,43.3kg,novesa,
KQ85QT80A-W2,43.3kg,novesa,
KQ85QT65A-S,47.5kg,novesa,
KQ85QT65A-W2,47.5kg,novesa,
KQ85QB70-B5,43.8kg,600*400,M8 11~13
KQ85QB70-W2B5,43.8kg,600*400,M8 11~13
KQ85QT65AFXKR,47.5kg,novesa,
KQ85QT65A-W1,47.5kg,novesa,
KQ85QT67AFXKR,48.7kg,novesa,
KQ85QB65-B5,41.5kg,600*400,M8 11~13
KQ85QB65-W2B5,41.5kg,600*400,M8 11~13
KQ85QB65-SP,41.5kg,600*400,M8 11~13
KQ85QB65-W2SP,41.5kg,600*400,M8 11~13
KQ85QB65AFXKR,41.5kg,600*400,M8 11~13
KQ85QB65-W2,41.5kg,600*400,M8 11~13
KQ85QB67AFXKR,41.5kg,600*400,M8 11~13
KQ85QB67-W2,41.5kg,600*400,M8 11~13
KQ85QC60AFXKR,41.5kg,600*400,M8 11~13
KQ85QC60-W2,41.5kg,600*400,M8 11~13
KQ85QC65AFXKR,41.5kg,600*400,M8 11~13
KQ85QC65-W2,41.5kg,600*400,M8 11~13
KQ85QB70AFXKR,43.8kg,600*400,M8 11~13
KQ85QB70-W2,43.8kg,600*400,M8 11~13
KQ85QB70-5,43.8kg,600*400,M8 11~13
KQ85QB70-W25,43.8kg,600*400,M8 11~13
KQ85QB75-W2,43.8kg,600*400,M8 11~13
KQ85QB80-W2,43.3kg,600*400,M8 25~27
KQ85QC80-5,41.5kg,600*400,M8 16~18
KQ85QC80-W25,41.5kg,600*400,M8 16~18
KQ85QT80AFXKR,43.3kg,novesa,
KQ85QT85AFXKR,43.3kg,novesa,
KQ85QT70AFXKR,47.5kg,novesa,
KQ85QT90AFXKR,49.7kg,novesa,
KU85UC7070FXKR,40.2kg,600*400,M8 20~22
KU85UC7070-W2,40.2kg,600*400,M8 20~22
KU85UC8100FXKR,41.5kg,600*400,M8 11~13
KU85UC8100-W2,41.5kg,600*400,M8 11~13
KU85UB8100-WB5,41.5kg,600*400,M8 11~13
KU85UB8000-WS,41.5kg,600*400,M8 11~13
KU85UA7050-W2,40.2kg,600*400,
KU85UA7050FXKR,40.2kg,600*400,
KU85UA8180-W2,41.5kg,600*400,M8 11~13
KU85UB8070FXKR,41.5kg,600*400,
KU85UB8070-W1,41.5kg,600*400,
KU85UB8070-W2,41.5kg,600*400,
KU85UB8100FXKR,41.5kg,600*400,
KU85UB8100-W1,41.5kg,600*400,
KU85UB8100-W2,41.5kg,600*400,
KU85UB8000-B5,41.5kg,600*400,
KU85UB8000W2B5,41.5kg,600*400,
KU85UB8500FXKR,41.5kg,600*400,
KU85UC8070B5,41.5kg,600*400,M8 11~13
KU85UC8070W25B,41.5kg,600*400,M8 11~13
KU85UC8070FXKR,41.5kg,600*400,M8 11~13
KU85UC8070-W2,41.5kg,600*400,M8 11~13
KU85UC7000FXKR,40.2kg,600*400,M8 20~22
KU85UC7000-W2,40.2kg,600*400,M8 20~22
KU85UC8000FXKR,41.5kg,600*400,M8 11~13
KU85UC8000-W2,41.5kg,600*400,M8 11~13
KU85UC8500FXKR,41.5kg,600*400,M8 11~13
KU85UC8500-W2,41.5kg,600*400,M8 11~13
KU85UB8000FXKR,41.5kg,600*400,
KU85UA7000-W35,40.2kg,600*400,
